uid,monolayer1,monolayer2,IE_DFT
B1N1_Ga2Se2,B1N1,Ga2Se2,-0.23028339899999997
B1N1_C2,B1N1,C2,-0.244858298
B1N1_In2S2,B1N1,In2S2,-0.145748987
B1N1_Mo1S2,B1N1,Mo1S2,-0.35417003799999996
B1N1_Mo1Se2,B1N1,Mo1Se2,-0.316275302
B1N1_Nb1S2,B1N1,Nb1S2,-0.326477731
B1N1_Nb1Se2,B1N1,Nb1Se2,-0.201133602
B1N1_Re4S8,B1N1,Re4S8,-0.43141700200000005
B1N1_Re1Te2,B1N1,Re1Te2,-0.549473681
B1N1_Si1C1,B1N1,Si1C1,-0.329392711
B1N1_Mo1S2-T1,B1N1,Mo1S2-T1,-0.652955462
B1N1_Nb1S2-T1,B1N1,Nb1S2-T1,-0.33376518
B1N1_Nb1Se2-T1,B1N1,Nb1Se2-T1,-0.269635626
B1N1_W1S2-T1,B1N1,W1S2-T1,-0.666072871
B1N1_Ta1S2,B1N1,Ta1S2,-0.301700403
B1N1_Ti1S2,B1N1,Ti1S2,-0.33959514
B1N1_Ti1Te2,B1N1,Ti1Te2,-0.243400808
B1N1_W1Cl2,B1N1,W1Cl2,-0.282753035
B1N1_W1S2,B1N1,W1S2,-0.33522267
B1N1_W1Se2,B1N1,W1Se2,-0.303157893
B1N1_Zn1O1,B1N1,Zn1O1,-0.295870444
C2_Cd1O1,Cd1O1,C2,-0.27255060600000003
Cd1O1_Pt1Te2,Cd1O1,Pt1Te2,-0.37020242700000006
Cd1O1_Hf1Se2-T1,Cd1O1,Hf1Se2-T1,-0.409554653
Cd1O1_Ti1Te2,Cd1O1,Ti1Te2,-0.36437246799999995
Ga2S2_Hf1Se2,Ga2S2,Hf1Se2,-0.319190282
Ga2S2_Mo1Te2,Ga2S2,Mo1Te2,-0.33376518
Ga2S2_Pt1Se2,Ga2S2,Pt1Se2,-0.243400808
Ga2S2_Pt1Te2,Ga2S2,Pt1Te2,-0.250688258
Ga2S2_Hf1S2-T1,Ga2S2,Hf1S2-T1,-0.252145748
Ga2S2_Hf1Se2-T1,Ga2S2,Hf1Se2-T1,-0.173441295
Ga2S2_Ta1Te2,Ga2S2,Ta1Te2,-0.34542509899999996
C2_Ga2Se2,Ga2Se2,C2,-0.093279352
Ga2Se2_In2S2,Ga2Se2,In2S2,-0.11368421
Ga2Se2_Si2,Ga2Se2,Si2,-0.282753035
C2_Mo1Se2,C2,Mo1Se2,-0.34688258899999996
C2_Nb1S2,C2,Nb1S2,-0.394979755
C2_Ni1Se2,C2,Ni1Se2,-0.45327935
C2_Re4S8,C2,Re4S8,-0.47659918700000004
C2_Re4Se8,C2,Re4Se8,-0.629635624
C2_Si1C1,C2,Si1C1,-0.37020242700000006
C2_Mo1S2-T1,C2,Mo1S2-T1,-0.607773276
C2_Mo1Se2-T1,C2,Mo1Se2-T1,-0.689392709
C2_Ta1Cl2,C2,Ta1Cl2,-0.3308502
C2_Ta1S2,C2,Ta1S2,-0.37020242700000006
C2_Ti1S2,C2,Ti1S2,-0.409554653
C2_Ti1Te2,C2,Ti1Te2,-0.252145748
C2_W1Cl2,C2,W1Cl2,-0.361457488
C2_W1Se2,C2,W1Se2,-0.33668016
C2_Zn1O1,C2,Zn1O1,-0.33522267
Hf1S2_Mo1Te2,Hf1S2,Mo1Te2,-0.326477731
Hf1S2_Nb1Te2,Hf1S2,Nb1Te2,-0.271093116
Hf1S2_Ni1S2,Hf1S2,Ni1S2,-0.5771659889999999
Hf1S2_Ni1Te2,Hf1S2,Ni1Te2,-0.42704453200000003
Hf1S2_Pd2S4,Hf1S2,Pd2S4,-0.27255060600000003
Hf1S2_Pd1Te2,Hf1S2,Pd1Te2,-0.351255059
Hf1S2_Mo1Te2-T1,Hf1S2,Mo1Te2-T1,-0.56550607
Hf1S2_Nb1Te2-T1,Hf1S2,Nb1Te2-T1,-0.470769228
Hf1S2_Ta1Se2,Hf1S2,Ta1Se2,-0.266720646
Hf1S2_Ti1Se2,Hf1S2,Ti1Se2,-0.295870444
Hf1S2_W1Te2,Hf1S2,W1Te2,-0.325020241
Hf1Se2_Pt1Te2,Hf1Se2,Pt1Te2,-0.294412954
Hf1S2-T1_Hf1Se2,Hf1Se2,Hf1S2-T1,-0.37020242700000006
Hf1Se2_Hf1Se2-T1,Hf1Se2,Hf1Se2-T1,-0.327935221
Hf1Se2_Ta1Te2,Hf1Se2,Ta1Te2,-0.301700403
Hf1Te2_Mo1S2,Hf1Te2,Mo1S2,-0.36437246799999995
Hf1Te2_Si1C1,Hf1Te2,Si1C1,-0.287125504
Hf1Te2_Hf1Te2-T1,Hf1Te2,Hf1Te2-T1,-0.342510119
Hf1Te2_Mo1S2-T1,Hf1Te2,Mo1S2-T1,-0.6850202390000001
Hf1Te2_W1S2-T1,Hf1Te2,W1S2-T1,-0.7156275259999999
Hf1Te2_W1S2,Hf1Te2,W1S2,-0.33813765
In2S2_Si2,In2S2,Si2,-0.325020241
In2S2_Si1C1,In2S2,Si1C1,-0.311902832
In2S2_Mo1S2-T1,In2S2,Mo1S2-T1,-0.422672062
In2S2_Ta1Cl2,In2S2,Ta1Cl2,-0.209878541
In2Se2_Mo1S2,In2Se2,Mo1S2,-0.282753035
In2Se2_Mo1Se2-T1,In2Se2,Mo1Se2-T1,-0.5523886610000001
In2Se2_W1S2,In2Se2,W1S2,-0.266720646
Mo1S2_Si1C1,Mo1S2,Si1C1,-0.397894735
Hf1Te2-T1_Mo1S2,Mo1S2,Hf1Te2-T1,-0.373117407
Mo1S2_W1S2-T1,Mo1S2,W1S2-T1,-0.467854248
Mo1S2_Ta1Cl2,Mo1S2,Ta1Cl2,-0.41829959299999997
Mo1S2_W1S2,Mo1S2,W1S2,-0.35562752799999997
Mo1Se2_Nb1S2,Mo1Se2,Nb1S2,-0.343967609
Mo1Se2_Ni1Se2,Mo1Se2,Ni1Se2,-0.358542508
Mo1Se2_Re4S8,Mo1Se2,Re4S8,-0.276923075
Mo1Se2_Mo1Se2-T1,Mo1Se2,Mo1Se2-T1,-0.437246961
Mo1Se2_Nb1S2-T1,Mo1Se2,Nb1S2-T1,-0.488259106
Mo1Se2_Ta1S2,Mo1Se2,Ta1S2,-0.308987852
Mo1Se2_Ti1S2,Mo1Se2,Ti1S2,-0.373117407
Mo1Se2_W1Se2,Mo1Se2,W1Se2,-0.325020241
Mo1Se2_Zn1O1,Mo1Se2,Zn1O1,-0.405182184
Mo1Te2_Nb1Te2,Mo1Te2,Nb1Te2,-0.301700403
Mo1Te2_Ni1S2,Mo1Te2,Ni1S2,-0.38477732600000003
Mo1Te2_Ni1Te2,Mo1Te2,Ni1Te2,-0.33959514
Mo1Te2_Pd1Te2,Mo1Te2,Pd1Te2,-0.303157893
Mo1Te2_Pt1Se2,Mo1Te2,Pt1Se2,-0.19238866300000002
