uid,monolayer1,monolayer2
Ag1Bi1P2Se6_Ag1Bi1P2Se6,Ag1Bi1P2Se6,Ag1Bi1P2Se6
Ag1Bi1P2Se6_Ag2I2,Ag1Bi1P2Se6,Ag2I2
Ag1Bi1P2Se6_Al2Te5,Ag1Bi1P2Se6,Al2Te5
Ag1Bi1P2Se6_As2Pb2,Ag1Bi1P2Se6,As2Pb2
Ag1Bi1P2Se6_As4S6,Ag1Bi1P2Se6,As4S6
Ag1Bi1P2Se6_As4Se6,Ag1Bi1P2Se6,As4Se6
Ag1Bi1P2Se6_B1N1-T1,Ag1Bi1P2Se6,B1N1-T1
Ag1Bi1P2Se6_Ba1U1I6,Ag1Bi1P2Se6,Ba1U1I6
Ag1Bi1P2Se6_Ba2N1,Ag1Bi1P2Se6,Ba2N1
Ag1Bi1P2Se6_Bi1Te1Br1,Ag1Bi1P2Se6,Bi1Te1Br1
Ag1Bi1P2Se6_Bi1Te1Br1-T1,Ag1Bi1P2Se6,Bi1Te1Br1-T1
Ag1Bi1P2Se6_Bi1Te1Cl1,Ag1Bi1P2Se6,Bi1Te1Cl1
Ag1Bi1P2Se6_Bi1Te1F1,Ag1Bi1P2Se6,Bi1Te1F1
Ag1Bi1P2Se6_Bi1Te1I1,Ag1Bi1P2Se6,Bi1Te1I1
Ag1Bi1P2Se6_Bi1Te1I1-T1,Ag1Bi1P2Se6,Bi1Te1I1-T1
Ag1Bi1P2Se6_Bi2Cl2O2,Ag1Bi1P2Se6,Bi2Cl2O2
Ag1Bi1P2Se6_Bi2I2O2,Ag1Bi1P2Se6,Bi2I2O2
Ag1Bi1P2Se6_Bi2Pb2,Ag1Bi1P2Se6,Bi2Pb2
Ag1Bi1P2Se6_Bi2Pt1,Ag1Bi1P2Se6,Bi2Pt1
Ag1Bi1P2Se6_Bi2Se3,Ag1Bi1P2Se6,Bi2Se3
Ag1Bi1P2Se6_Bi2Te1Se2,Ag1Bi1P2Se6,Bi2Te1Se2
Ag1Bi1P2Se6_Bi3Se4,Ag1Bi1P2Se6,Bi3Se4
Ag1Bi1P2Se6_Bi6Pb6,Ag1Bi1P2Se6,Bi6Pb6
Ag1Bi1P2Se6_C2,Ag1Bi1P2Se6,C2
Ag1Bi1P2Se6_Ca1I2,Ag1Bi1P2Se6,Ca1I2
Ag1Bi1P2Se6_Ca2Cu1Br2O2,Ag1Bi1P2Se6,Ca2Cu1Br2O2
Ag1Bi1P2Se6_Ca2H2I2,Ag1Bi1P2Se6,Ca2H2I2
Ag1Bi1P2Se6_Ca2La2I10-T1,Ag1Bi1P2Se6,Ca2La2I10-T1
Ag1Bi1P2Se6_Ca3Cu2Br2O4,Ag1Bi1P2Se6,Ca3Cu2Br2O4
Ag1Bi1P2Se6_Cd1Br2,Ag1Bi1P2Se6,Cd1Br2
Ag1Bi1P2Se6_Cd1Br2-T1,Ag1Bi1P2Se6,Cd1Br2-T1
Ag1Bi1P2Se6_Cd1Cl2,Ag1Bi1P2Se6,Cd1Cl2
Ag1Bi1P2Se6_Cd1Cl2-T1,Ag1Bi1P2Se6,Cd1Cl2-T1
Ag1Bi1P2Se6_Cd1I2,Ag1Bi1P2Se6,Cd1I2
Ag1Bi1P2Se6_Cd2Bi2Se4I2,Ag1Bi1P2Se6,Cd2Bi2Se4I2
