Monolayer,Atom_HardnessRB_StDiv,Atom_Inv_Diff_ENARrev_ENGordyRev_Range,Atom_Inv_Diff_ENGordyRev_EA_StDiv,Atom_Inv_Diff_ENGordyRev_IP5_StDiv,Atom_Inv_Diff_ENGordyRev_IP6_StDiv,Atom_Inv_Diff_IP7_IP8_StDiv,Atom_Inv_Mult_EA_ThermalExpansion_Range,Atom_Inv_Mult_IP2_LatticeConstant_Min,Atom_Inv_Mult_SpeedSound_Zeff_Median,Atom_Log_Mult_ENGordyRev_IP6_Range,Atom_Log_Mult_IP7_Period_Range,Atom_Log_Mult_SpeedSound_RadiiCordero08_Median,Atom_Log_Ratio_IP2_IP3_StDiv,Atom_Log_Ratio_IP6_IP7_Max,Atom_Log_Ratio_PoissonRatio_Ntotal_Range,Atom_Mult_EA_dHAtom_Max,Atom_Mult_EA_dHAtom_StDiv,Atom_Mult_EA_dHFus_StDiv,Atom_Mult_IP8_SpeedSound_Min,Atom_Mult_IP8_SpeedSound_StDiv,Atom_Mult_LatticeConstant_Density_StDiv,Atom_Mult_LatticeConstant_RadiiBatsanov_Min,Atom_Mult_ThermalCond_YoungsModule_StDiv,Atom_Ratio_Density_TDebye0_Min,Atom_Ratio_EA_ThermalExpansion_Min,Atom_Ratio_ENARrev_YoungsModule_Min,Atom_Ratio_dHFus_SpeedSound_StDiv,CrystSyst_hexagonal,CrystSyst_trigonal,EState_Dist_Hf_EA,EState_Dist_Ti_ENARrev,EState_Topo_Ni_Zeff,EState_Topo_Pd_Zeff,EState_Topo_Te_dHAtom,Moment_N_f_2,Moment_SpeedSound_1,Moment_TCritical_1,Moment_TCurie_1,Moment_TCurie_3,Moment_ThermalExpansion_1,SG164,SG187,
U1B2O6,0.05207,0.03942,0.11466,0.22918,0.19705,0.31814,0.12941,0.2392,0.48319,0.21346,0.11842,0.56026,0.01596,-0.23503,0,0.30301,0.09749,0.0381,0.19471,0.01022,0.15217,0.30096,0,0.0084,0.01346,0.00734,0.06082,0,0,0,0,0,0,0,-1.4307,-1.9754,-4.82361,0,0,-3.3554,0,0,
Si12P12,0.05361,0.00261,0.1197,0.21606,0.00941,0.02571,0,0.4086,0.0637,0.02923,0.00927,0.81742,0.06878,-0.10654,0,0.52772,0.16592,0.23457,0.46941,0,0.00208,0.52355,0,0.0192,1,0.08081,0,0,0,0,0,0,0,0,0,0.8851,0,0,0,0.8851,0,0,
P4H8Pb2O8,0.06427,0.53339,0.07534,0.13968,0.14296,0.1758,0,0.2392,0.16034,0.13091,0.12344,0.62618,0.05172,-0.10654,0,0.30301,0.08433,0.00264,0.10034,0.03775,0.1592,0.18939,0,0.00308,0.02357,0.15596,0.04767,0,0,0,0,0,0,0,-3.00884,-12.92227,-12.92227,0,0,-12.92227,0,0,
Ge4As8,0.04245,0.00215,0.06046,0.11091,0.00985,0.00816,0,0.27327,0.03533,0.01857,0.00197,0.91968,0.07456,-0.11509,0,0.38706,0.08704,0.05397,0.66931,0,0.03188,0.38873,0,0.07585,0.38443,0.72586,0,0,0,0,0,0,0,0,0,-0.93949,0,0,0,-0.93949,0,0,
Sn2Pb2F8,0.12388,0.53353,0.10706,0.10141,0.14117,0.26333,0.06563,0.19345,0.11512,0.16919,0.06623,0.82268,0.03545,-0.09781,0.10987,0.27971,0.06864,0.01711,0.10034,0.07931,0.21735,0.38636,0.01749,0.19525,0.02357,0.06068,0.03165,0,0,0,0,0,0,0,3.12159,1.04053,1.04053,0,0,1.04053,0,0,
Sc2Cl2,0.07079,0.00737,0.03704,0.10674,0.05119,0.27288,0,0.31807,1,0.08108,0.06535,0.56038,0.03422,-0.09768,0,0.36708,0.15395,0.02896,0.05042,0,0.00085,0.34954,0,0.04593,0.03449,0.0083,0,0,1,0,0,0,0,0,0,1.73314,0.86657,0,0,0.86657,1,0,
Re1Se2,0.05083,0.00158,0.11657,0.12193,0.09409,0.10561,0.43488,0.20451,0.07006,0.00055,0.03079,0.86965,0.01856,-0.12556,0.08193,0.38201,0.17551,0.03325,0.43311,0.02063,0.18313,0.25978,0.13225,0.16695,0.00453,0.10497,0.11175,1,0,0,0,0,0,0,1.47973,2.6844,3.58822,0,0,2.16927,0,1,
Mn1Co2O6,0.08739,0.01721,0.17033,0.08136,0.07223,0.1331,0.04547,0.18071,0.48319,0.15596,0.15506,0.56026,0.05803,-0.13153,0.00103,0.30301,0.16578,0.04482,0.19471,0.19053,0.18377,0.23049,0.11521,0.0937,-0.08623,0.00542,0.05155,0,1,0,0,0,0,0,0,1.65833,0,1.22774,10.9572,1.78628,0,0,
La2I6,0.03463,0.00273,0.08701,0.07876,0.00539,0.22344,0,0.41239,0.04776,0.03367,0.02559,0.89506,0.02105,-0.09766,0,0.27261,0.04499,0.06106,0.1826,0,0.06794,0.43044,0,0.2404,0.07268,0.01615,0,0,0,0,0,0,0,0,0,1.1001,1.1001,0,0,1.1001,0,0,
Cd2P2S6,0.0321,0.01086,0.02169,0.02684,0.16988,0.08999,0,0.21678,0.06359,0.14135,0.06486,0.8498,0.07301,-0.10654,0,0.48265,0.19839,0.01118,0.21117,0,0.04367,0.30101,0,0.21894,0,0.02762,0,0,1,0,0,0,0,0,0,3.13019,3.13019,0,0,3.13019,0,0,
